日期,星期,RT最高,RT最低,RT均价,DA均价,负价时段,充电次数,放电次数,充电均价,放电均价,利润元,RT-DA均差,净价差
2026-01-01,四,501.1,-80.0,169.5,168.1,11,1,1,-80.0,501.1,581.07,1.4,581.1
2026-01-01,四,405.0,-21.7,273.2,169.5,1,1,1,-21.7,405.0,426.72,103.7,426.7
2026-01-02,五,502.9,-80.0,260.9,273.2,6,1,1,-80.0,502.9,582.93,-12.2,582.9
2026-01-02,五,500.0,25.4,358.4,260.9,0,1,1,25.4,500.0,474.64,97.4,474.6
2026-01-03,六,529.4,-80.0,204.7,358.4,9,1,1,-80.0,529.4,609.38,-153.7,609.4
2026-01-03,六,457.0,365.0,409.8,204.7,0,1,1,365.0,457.0,92.00,205.1,92.0
2026-01-04,日,434.8,312.2,369.3,409.8,0,1,1,312.2,434.8,122.64,-40.6,122.6
2026-01-04,日,500.0,315.0,402.9,369.3,0,1,1,315.0,500.0,185.00,33.6,185.0
2026-01-05,一,421.4,-47.9,279.6,402.9,2,1,1,-47.9,421.4,469.26,-123.3,469.3
2026-01-05,一,387.0,100.0,319.5,279.6,0,1,1,100.0,387.0,287.00,39.9,287.0
2026-01-06,二,493.5,40.6,350.2,319.5,0,1,1,40.6,493.5,452.91,30.8,452.9
2026-01-06,二,426.0,15.2,250.4,350.2,0,1,1,15.2,426.0,410.80,-99.8,410.8
2026-01-07,三,475.2,-90.2,199.2,250.4,6,1,1,-90.2,475.2,565.35,-51.2,565.3
2026-01-07,三,392.2,-38.5,212.5,199.2,4,1,1,-38.5,392.2,430.75,13.3,430.8
2026-01-08,四,539.9,-80.0,215.5,212.5,9,1,1,-80.0,539.9,619.87,3.0,619.9
2026-01-08,四,300.0,-71.0,52.7,215.5,9,1,1,-71.0,300.0,371.00,-162.8,371.0
2026-01-09,五,592.1,-80.0,69.9,52.7,12,1,1,-80.0,592.1,672.13,17.2,672.1
2026-01-09,五,360.2,-79.5,83.2,69.9,12,1,1,-79.5,360.2,439.67,13.3,439.7
2026-01-10,六,443.4,-80.0,61.6,83.2,16,1,1,-80.0,443.4,523.42,-21.6,523.4
2026-01-10,六,433.6,-75.0,97.0,61.6,12,1,1,-75.0,433.6,508.58,35.4,508.6
2026-01-11,日,628.3,-80.0,108.5,97.0,15,1,1,-80.0,628.3,708.28,11.5,708.3
2026-01-11,日,504.0,-75.0,136.2,108.5,11,1,1,-75.0,504.0,579.00,27.7,579.0
2026-01-12,一,661.8,-90.1,160.9,136.2,13,1,1,-90.1,661.8,751.91,24.7,751.9
2026-01-12,一,422.1,-69.9,242.4,160.9,3,1,1,-69.9,422.1,492.01,81.5,492.0
2026-01-13,二,459.8,-32.7,254.7,242.4,2,1,1,-32.7,459.8,492.47,12.3,492.5
2026-01-13,二,400.0,257.4,326.4,254.7,0,1,1,257.4,400.0,142.65,71.7,142.6
2026-01-14,三,611.2,273.5,361.3,326.4,0,1,1,273.5,611.2,337.77,34.9,337.8
2026-01-14,三,430.0,-70.0,221.5,361.3,4,1,1,-70.0,430.0,500.00,-139.8,500.0
2026-01-15,四,492.8,-80.0,134.7,221.5,12,1,1,-80.0,492.8,572.84,-86.9,572.8
2026-01-15,四,412.0,-60.0,131.4,134.7,5,1,1,-60.0,412.0,472.00,-3.2,472.0
2026-01-16,五,685.9,-80.0,252.0,131.4,8,1,1,-80.0,685.9,765.94,120.5,765.9
2026-01-16,五,493.1,-70.0,173.8,252.0,6,1,1,-70.0,493.1,563.07,-78.1,563.1
2026-01-17,六,623.8,-38.6,282.0,173.8,1,1,1,-38.6,623.8,662.42,108.1,662.4
2026-01-17,六,463.0,100.0,320.8,282.0,0,1,1,100.0,463.0,363.00,38.9,363.0
2026-01-18,日,1187.5,13.7,482.7,320.8,0,1,1,13.7,1187.5,1173.76,161.9,1173.8
2026-01-18,日,640.0,20.0,322.2,482.7,0,1,1,20.0,640.0,620.00,-160.5,620.0
2026-01-19,一,614.3,42.2,417.5,322.2,0,1,1,42.2,614.3,572.14,95.3,572.1
2026-01-19,一,496.2,159.0,380.0,417.5,0,1,1,159.0,496.2,337.14,-37.6,337.1
2026-01-20,二,440.8,93.3,340.6,380.0,0,1,1,93.3,440.8,347.49,-39.4,347.5
2026-01-20,二,487.8,0.0,320.8,340.6,0,1,1,0.0,487.8,487.79,-19.8,487.8
2026-01-21,三,463.7,-63.6,324.1,320.8,3,1,1,-63.6,463.7,527.29,3.3,527.3
2026-01-21,三,440.0,5.0,313.5,324.1,0,1,1,5.0,440.0,435.00,-10.6,435.0
2026-01-22,四,472.6,-80.0,334.0,313.5,3,1,1,-80.0,472.6,552.63,20.5,552.6
2026-01-22,四,474.0,-6.6,315.9,334.0,1,1,1,-6.6,474.0,480.58,-18.1,480.6
2026-01-23,五,641.2,-80.0,357.8,315.9,1,1,1,-80.0,641.2,721.18,41.9,721.2
2026-01-23,五,451.6,-58.8,328.9,357.8,1,1,1,-58.8,451.6,510.44,-28.9,510.4
2026-01-24,六,422.4,-80.0,273.3,328.9,4,1,1,-80.0,422.4,502.43,-55.6,502.4
2026-01-24,六,462.9,234.3,358.5,273.3,0,1,1,234.3,462.9,228.66,85.2,228.7
2026-01-25,日,490.2,-80.0,205.8,358.5,5,1,1,-80.0,490.2,570.20,-152.7,570.2
2026-01-25,日,550.0,232.5,426.4,205.8,0,1,1,232.5,550.0,317.52,220.6,317.5
2026-01-26,一,1291.3,315.8,495.2,426.4,0,1,1,315.8,1291.3,975.46,68.8,975.5
2026-01-26,一,442.9,-23.0,319.6,495.2,1,1,1,-23.0,442.9,465.91,-175.6,465.9
2026-01-27,二,461.4,-6.4,315.1,319.6,1,1,1,-6.4,461.4,467.73,-4.6,467.7
2026-01-27,二,503.4,81.0,346.1,315.1,0,1,1,81.0,503.4,422.38,31.0,422.4
2026-01-28,三,366.5,264.6,324.9,346.1,0,1,1,264.6,366.5,101.91,-21.2,101.9
2026-01-28,三,500.0,291.0,365.1,324.9,0,1,1,291.0,500.0,209.00,40.2,209.0
2026-01-29,四,357.7,311.1,327.7,365.1,0,1,1,311.1,357.7,46.61,-37.4,46.6
2026-01-29,四,637.5,315.6,413.6,327.7,0,1,1,315.6,637.5,321.88,85.9,321.9
2026-01-30,五,373.6,-80.0,289.2,413.6,2,1,1,-80.0,373.6,453.57,-124.4,453.6
2026-01-30,五,416.1,220.5,352.5,289.2,0,1,1,220.5,416.1,195.60,63.4,195.6
2026-01-31,六,358.5,294.9,337.1,352.5,0,1,1,294.9,358.5,63.58,-15.5,63.6
2026-01-31,六,417.6,105.7,282.0,337.1,0,1,1,105.7,417.6,311.90,-55.0,311.9
2026-02-01,日,469.7,196.9,393.3,264.7,0,1,1,196.9,469.7,272.83,128.6,272.8
2026-02-01,日,460.0,50.5,316.4,393.3,0,1,1,50.5,460.0,409.50,-76.9,409.5
2026-02-02,一,427.5,-80.0,295.1,316.4,4,1,1,-80.0,427.5,507.55,-21.4,507.5
2026-02-02,一,377.6,6.4,266.8,295.1,0,1,1,6.4,377.6,371.26,-28.3,371.3
2026-02-03,二,409.9,-80.0,216.5,266.8,5,1,1,-80.0,409.9,489.85,-50.3,489.9
2026-02-03,二,500.0,-7.8,225.9,216.5,2,1,1,-7.8,500.0,507.84,9.5,507.8
2026-02-04,三,597.3,-85.1,284.3,225.9,3,1,1,-85.1,597.3,682.39,58.4,682.4
2026-02-04,三,520.2,-50.0,224.7,284.3,4,1,1,-50.0,520.2,570.16,-59.7,570.2
2026-02-05,四,542.8,-80.0,245.8,224.7,7,1,1,-80.0,542.8,622.76,21.1,622.8
2026-02-05,四,501.0,0.0,264.4,245.8,0,1,1,0.0,501.0,501.00,18.6,501.0
2026-02-06,五,700.5,-43.8,286.5,264.4,4,1,1,-43.8,700.5,744.34,22.1,744.3
2026-02-06,五,460.0,-10.0,310.3,286.5,3,1,1,-10.0,460.0,470.00,23.8,470.0
2026-02-07,六,426.3,-80.0,268.6,310.3,5,1,1,-80.0,426.3,506.33,-41.7,506.3
2026-02-07,六,480.0,-50.5,276.4,268.6,5,1,1,-50.5,480.0,530.50,7.8,530.5
2026-02-08,日,441.7,-80.0,226.0,276.4,7,1,1,-80.0,441.7,521.66,-50.4,521.7
2026-02-08,日,385.4,-2.0,190.4,226.0,1,1,1,-2.0,385.4,387.40,-35.6,387.4
2026-02-09,一,348.4,-80.0,58.7,190.4,15,1,1,-80.0,348.4,428.38,-131.7,428.4
2026-02-09,一,443.0,122.5,316.1,58.7,0,1,1,122.5,443.0,320.52,257.4,320.5
2026-02-10,二,456.0,288.4,343.3,316.1,0,1,1,288.4,456.0,167.61,27.3,167.6
2026-02-10,二,424.0,-50.0,260.2,343.3,5,1,1,-50.0,424.0,474.00,-83.1,474.0
2026-02-11,三,447.2,-80.0,236.7,260.2,7,1,1,-80.0,447.2,527.20,-23.6,527.2
2026-02-11,三,510.0,-70.0,189.5,236.7,7,1,1,-70.0,510.0,580.00,-47.1,580.0
2026-02-12,四,397.3,-80.0,115.7,189.5,10,1,1,-80.0,397.3,477.30,-73.8,477.3
2026-02-12,四,430.0,-70.5,213.9,115.7,7,1,1,-70.5,430.0,500.50,98.2,500.5
2026-02-13,五,436.6,-80.0,200.3,213.9,7,1,1,-80.0,436.6,516.58,-13.7,516.6
2026-02-13,五,353.9,-78.9,89.7,200.3,8,1,1,-78.9,353.9,432.75,-110.6,432.8
2026-02-14,六,327.7,-80.0,44.8,89.7,15,1,1,-80.0,327.7,407.72,-44.9,407.7
2026-02-14,六,443.5,-79.5,73.2,44.8,16,1,1,-79.5,443.5,523.00,28.4,523.0
