date,weekday,mode,charge_period,discharge_period,charge_avg,discharge_avg,spread
2026-01-01,周四,A,10:00-12:00,20:00-22:00,-80.0,171.01,251.01
2026-01-02,周五,A,09:00-11:00,16:00-18:00,-80.0,491.7,571.69
2026-01-03,周六,A,01:00-03:00,20:00-22:00,-80.0,528.07,608.07
2026-01-04,周日,A*,05:00-07:00,14:00-16:00,346.92,426.49,79.57
2026-01-05,周一,A,12:00-14:00,19:00-21:00,-41.77,418.35,460.12
2026-01-06,周二,A*,04:00-06:00,08:00-10:00,323.34,477.86,154.53
2026-01-07,周三,A,13:00-15:00,16:00-18:00,-85.08,471.64,556.72
2026-01-08,周四,A,12:00-14:00,15:00-17:00,-74.36,378.89,453.25
2026-01-09,周五,A,04:00-06:00,08:00-10:00,-80.0,462.16,542.16
2026-01-10,周六,A,00:00-02:00,18:00-20:00,-80.0,428.56,508.56
2026-01-11,周日,A,00:00-02:00,16:00-18:00,-80.0,623.9,703.9
2026-01-12,周一,A,13:00-15:00,15:00-17:00,-85.07,601.0,686.07
2026-01-13,周二,A,12:00-14:00,15:00-17:00,-28.36,366.05,394.41
2026-01-14,周三,A,05:00-07:00,14:00-16:00,280.2,610.02,329.81
2026-01-15,周四,A,12:00-14:00,15:00-17:00,-80.0,332.54,412.54
2026-01-16,周五,A,00:00-02:00,10:00-12:00,-80.0,678.45,758.45
2026-01-17,周六,A,10:00-12:00,16:00-18:00,-11.51,616.9,628.41
2026-01-18,周日,A,06:00-08:00,11:00-13:00,353.28,1064.94,711.65
2026-01-19,周一,A,06:00-08:00,15:00-17:00,89.48,592.1,502.62
2026-01-20,周二,A*,12:00-14:00,16:00-18:00,180.75,412.6,231.84
2026-01-21,周三,A,12:00-14:00,17:00-19:00,-54.32,459.31,513.64
2026-01-22,周四,A,12:00-14:00,16:00-18:00,-80.0,466.62,546.62
2026-01-23,周五,A,11:00-13:00,16:00-18:00,15.47,493.33,477.86
2026-01-24,周六,A,12:00-14:00,20:00-22:00,-80.0,412.41,492.41
2026-01-25,周日,A,09:00-11:00,20:00-22:00,-80.0,474.03,554.03
2026-01-26,周一,A,05:00-07:00,09:00-11:00,326.89,1283.21,956.32
2026-01-27,周二,A,11:00-13:00,16:00-18:00,48.69,379.75,331.05
2026-01-28,周三,A*,12:00-14:00,16:00-18:00,285.14,358.44,73.3
2026-01-29,周四,A*,13:00-15:00,16:00-18:00,313.81,355.74,41.93
2026-01-30,周五,A,11:00-13:00,17:00-19:00,-77.38,369.84,447.23
2026-01-31,周六,A*,05:00-07:00,08:00-10:00,304.48,356.8,52.32
2026-02-01,周日,A*,05:00-07:00,10:00-12:00,252.4,462.94,210.54
2026-02-02,周一,A,12:00-14:00,20:00-22:00,-80.0,426.48,506.48
2026-02-03,周二,A,09:00-11:00,20:00-22:00,-75.16,350.86,426.02
2026-02-04,周三,A,05:00-07:00,16:00-18:00,-35.38,581.71,617.1
2026-02-05,周四,A,13:00-15:00,20:00-22:00,-80.0,326.46,406.46
2026-02-06,周五,A,09:00-11:00,18:00-20:00,-14.71,653.87,668.58
2026-02-07,周六,A,14:00-16:00,20:00-22:00,-80.0,386.38,466.38
2026-02-08,周日,A,09:00-11:00,19:00-21:00,-80.0,399.66,479.66
2026-02-09,周一,A,01:00-03:00,20:00-22:00,-80.0,341.18,421.18
2026-02-10,周二,A*,05:00-07:00,20:00-22:00,289.89,434.15,144.26
2026-02-11,周三,A,13:00-15:00,20:00-22:00,-80.0,374.68,454.68
2026-02-12,周四,A,08:00-10:00,18:00-20:00,-80.0,383.58,463.58
2026-02-13,周五,A,09:00-11:00,17:00-19:00,-80.0,336.56,416.56
2026-02-14,周六,A,03:00-05:00,18:00-20:00,-80.0,278.08,358.08
2026-02-15,周日,A,03:00-05:00,20:00-22:00,-80.0,397.17,477.17
2026-02-16,周一,A,08:00-10:00,19:00-21:00,-80.0,394.65,474.65
2026-02-17,周二,A,08:00-10:00,17:00-19:00,-80.0,307.3,387.3
2026-02-18,周三,A,00:00-02:00,18:00-20:00,-80.0,490.26,570.26
2026-02-19,周四,A,03:00-05:00,17:00-19:00,-80.0,558.74,638.74
2026-02-20,周五,A,03:00-05:00,05:00-07:00,-69.93,194.14,264.07
2026-02-21,周六,A,00:00-02:00,20:00-22:00,-80.0,180.47,260.47
2026-02-22,周日,A,00:00-02:00,17:00-19:00,-80.0,462.23,542.23
2026-02-23,周一,A,05:00-07:00,16:00-18:00,-53.77,527.77,581.55
2026-02-24,周二,A,10:00-12:00,16:00-18:00,116.94,395.34,278.4
2026-02-25,周三,A,13:00-15:00,17:00-19:00,-80.0,445.83,525.83
2026-02-26,周四,A*,06:00-08:00,08:00-10:00,314.75,420.73,105.98
2026-02-27,周五,A,13:00-15:00,20:00-22:00,-80.0,439.58,519.58
2026-02-28,周六,A,12:00-14:00,20:00-22:00,-29.59,352.11,381.7
